 I    | PH(0 0), PH(0 1), PH(1 0), PH(1 1)  | PR(0 0), PR(0 1), PR(1 0), PR(1 1)  | AH(0), AH(1)  | AR(0), AR(1)
0|5.69397,0.234633,0.234633,0.0173492 | 6.72436,0.336537,0.336537,0.0280292 | -0.287039,-0.0326551 | -0.82486,-0.109614
1|5.69453,0.234661,0.234661,0.0173496 | 6.72567,0.336627,0.336627,0.028034 | -0.287056,-0.0326457 | -0.825426,-0.10964
2|5.69509,0.234688,0.234688,0.01735 | 6.72699,0.336716,0.336716,0.0280388 | -0.287073,-0.0326362 | -0.825992,-0.109666
3|5.69566,0.234716,0.234716,0.0173504 | 6.7283,0.336805,0.336805,0.0280436 | -0.287089,-0.0326267 | -0.826556,-0.109693
4|5.69622,0.234744,0.234744,0.0173508 | 6.72962,0.336894,0.336894,0.0280483 | -0.287105,-0.0326172 | -0.82712,-0.109718
5|5.69679,0.234771,0.234771,0.0173512 | 6.73093,0.336983,0.336983,0.0280531 | -0.28712,-0.0326076 | -0.827683,-0.109744
6|5.69735,0.234799,0.234799,0.0173517 | 6.73225,0.337072,0.337072,0.0280579 | -0.287135,-0.032598 | -0.828244,-0.10977
7|5.69792,0.234827,0.234827,0.0173521 | 6.73357,0.337161,0.337161,0.0280627 | -0.28715,-0.0325883 | -0.828805,-0.109796
8|5.69848,0.234854,0.234854,0.0173525 | 6.73488,0.33725,0.33725,0.0280675 | -0.287164,-0.0325787 | -0.829365,-0.109821
9|5.69905,0.234882,0.234882,0.0173529 | 6.7362,0.33734,0.33734,0.0280722 | -0.287178,-0.032569 | -0.829925,-0.109846
10|5.69961,0.23491,0.23491,0.0173533 | 6.73752,0.337429,0.337429,0.028077 | -0.287191,-0.0325592 | -0.830483,-0.109871
11|5.70017,0.234937,0.234937,0.0173537 | 6.73884,0.337518,0.337518,0.0280818 | -0.287204,-0.0325495 | -0.83104,-0.109897
12|5.70074,0.234965,0.234965,0.0173541 | 6.74015,0.337607,0.337607,0.0280866 | -0.287217,-0.0325397 | -0.831596,-0.109921
13|5.7013,0.234992,0.234992,0.0173546 | 6.74147,0.337697,0.337697,0.0280914 | -0.287229,-0.0325298 | -0.832152,-0.109946
14|5.70187,0.23502,0.23502,0.017355 | 6.74279,0.337786,0.337786,0.0280961 | -0.287241,-0.03252 | -0.832707,-0.109971
15|5.70243,0.235048,0.235048,0.0173554 | 6.74411,0.337875,0.337875,0.0281009 | -0.287253,-0.0325101 | -0.83326,-0.109996
16|5.703,0.235075,0.235075,0.0173558 | 6.74543,0.337964,0.337964,0.0281057 | -0.287264,-0.0325001 | -0.833813,-0.11002
17|5.70356,0.235103,0.235103,0.0173562 | 6.74675,0.338054,0.338054,0.0281105 | -0.287274,-0.0324902 | -0.834365,-0.110044
18|5.70413,0.23513,0.23513,0.0173566 | 6.74808,0.338143,0.338143,0.0281153 | -0.287285,-0.0324802 | -0.834916,-0.110069
19|5.70469,0.235158,0.235158,0.017357 | 6.7494,0.338232,0.338232,0.02812 | -0.287295,-0.0324702 | -0.835465,-0.110093
20|5.70525,0.235185,0.235185,0.0173574 | 6.75072,0.338322,0.338322,0.0281248 | -0.287304,-0.0324601 | -0.836014,-0.110117
21|5.70582,0.235213,0.235213,0.0173578 | 6.75204,0.338411,0.338411,0.0281296 | -0.287313,-0.03245 | -0.836562,-0.11014
22|5.70638,0.23524,0.23524,0.0173582 | 6.75337,0.338501,0.338501,0.0281344 | -0.287322,-0.0324399 | -0.83711,-0.110164
23|5.70695,0.235268,0.235268,0.0173587 | 6.75469,0.33859,0.33859,0.0281392 | -0.28733,-0.0324298 | -0.837656,-0.110188
24|5.70751,0.235296,0.235296,0.0173591 | 6.75601,0.33868,0.33868,0.028144 | -0.287338,-0.0324196 | -0.838201,-0.110211
25|5.70808,0.235323,0.235323,0.0173595 | 6.75734,0.338769,0.338769,0.0281487 | -0.287346,-0.0324094 | -0.838745,-0.110234
26|5.70864,0.235351,0.235351,0.0173599 | 6.75866,0.338858,0.338858,0.0281535 | -0.287353,-0.0323991 | -0.839289,-0.110258
27|5.70921,0.235378,0.235378,0.0173603 | 6.75999,0.338948,0.338948,0.0281583 | -0.28736,-0.0323889 | -0.839831,-0.110281
28|5.70977,0.235405,0.235405,0.0173607 | 6.76131,0.339037,0.339037,0.0281631 | -0.287366,-0.0323785 | -0.840372,-0.110304
29|5.71033,0.235433,0.235433,0.0173611 | 6.76264,0.339127,0.339127,0.0281679 | -0.287372,-0.0323682 | -0.840913,-0.110327
30|5.7109,0.23546,0.23546,0.0173615 | 6.76397,0.339216,0.339216,0.0281727 | -0.287378,-0.0323578 | -0.841452,-0.110349
31|5.71146,0.235488,0.235488,0.0173619 | 6.76529,0.339306,0.339306,0.0281775 | -0.287383,-0.0323474 | -0.841991,-0.110372
32|5.71203,0.235515,0.235515,0.0173623 | 6.76662,0.339396,0.339396,0.0281822 | -0.287388,-0.032337 | -0.842528,-0.110394
33|5.71259,0.235543,0.235543,0.0173627 | 6.76795,0.339485,0.339485,0.028187 | -0.287392,-0.0323266 | -0.843065,-0.110417
34|5.71315,0.23557,0.23557,0.0173631 | 6.76928,0.339575,0.339575,0.0281918 | -0.287396,-0.0323161 | -0.8436,-0.110439
35|5.71372,0.235598,0.235598,0.0173635 | 6.77061,0.339664,0.339664,0.0281966 | -0.2874,-0.0323055 | -0.844135,-0.110461
36|5.71428,0.235625,0.235625,0.0173639 | 6.77193,0.339754,0.339754,0.0282014 | -0.287403,-0.032295 | -0.844668,-0.110483
37|5.71485,0.235652,0.235652,0.0173643 | 6.77326,0.339843,0.339843,0.0282062 | -0.287406,-0.0322844 | -0.845201,-0.110505
38|5.71541,0.23568,0.23568,0.0173647 | 6.77459,0.339933,0.339933,0.028211 | -0.287409,-0.0322738 | -0.845733,-0.110526
39|5.71597,0.235707,0.235707,0.0173651 | 6.77592,0.340023,0.340023,0.0282157 | -0.287411,-0.0322631 | -0.846263,-0.110548
40|5.71654,0.235735,0.235735,0.0173655 | 6.77725,0.340112,0.340112,0.0282205 | -0.287413,-0.0322525 | -0.846793,-0.110569
41|5.7171,0.235762,0.235762,0.0173659 | 6.77859,0.340202,0.340202,0.0282253 | -0.287414,-0.0322418 | -0.847321,-0.110591
42|5.71767,0.235789,0.235789,0.0173663 | 6.77992,0.340292,0.340292,0.0282301 | -0.287415,-0.032231 | -0.847849,-0.110612
43|5.71823,0.235817,0.235817,0.0173667 | 6.78125,0.340381,0.340381,0.0282349 | -0.287415,-0.0322203 | -0.848376,-0.110633
44|5.71879,0.235844,0.235844,0.017367 | 6.78258,0.340471,0.340471,0.0282397 | -0.287416,-0.0322095 | -0.848901,-0.110654
45|5.71936,0.235871,0.235871,0.0173674 | 6.78391,0.340561,0.340561,0.0282445 | -0.287415,-0.0321986 | -0.849426,-0.110675
46|5.71992,0.235899,0.235899,0.0173678 | 6.78525,0.340651,0.340651,0.0282493 | -0.287415,-0.0321878 | -0.849949,-0.110695
47|5.72048,0.235926,0.235926,0.0173682 | 6.78658,0.34074,0.34074,0.028254 | -0.287414,-0.0321769 | -0.850472,-0.110716
48|5.72105,0.235953,0.235953,0.0173686 | 6.78791,0.34083,0.34083,0.0282588 | -0.287412,-0.032166 | -0.850993,-0.110736
49|5.72161,0.235981,0.235981,0.017369 | 6.78925,0.34092,0.34092,0.0282636 | -0.287411,-0.032155 | -0.851514,-0.110757
50|5.72217,0.236008,0.236008,0.0173694 | 6.79058,0.34101,0.34101,0.0282684 | -0.287408,-0.0321441 | -0.852033,-0.110777
51|5.72274,0.236035,0.236035,0.0173698 | 6.79192,0.341099,0.341099,0.0282732 | -0.287406,-0.032133 | -0.852552,-0.110797
52|5.7233,0.236062,0.236062,0.0173702 | 6.79325,0.341189,0.341189,0.028278 | -0.287403,-0.032122 | -0.853069,-0.110817
53|5.72386,0.23609,0.23609,0.0173706 | 6.79459,0.341279,0.341279,0.0282828 | -0.2874,-0.0321109 | -0.853586,-0.110836
54|5.72443,0.236117,0.236117,0.017371 | 6.79592,0.341369,0.341369,0.0282875 | -0.287396,-0.0320998 | -0.854101,-0.110856
55|5.72499,0.236144,0.236144,0.0173713 | 6.79726,0.341458,0.341458,0.0282923 | -0.287392,-0.0320887 | -0.854615,-0.110876
56|5.72555,0.236171,0.236171,0.0173717 | 6.79859,0.341548,0.341548,0.0282971 | -0.287387,-0.0320776 | -0.855129,-0.110895
57|5.72612,0.236198,0.236198,0.0173721 | 6.79993,0.341638,0.341638,0.0283019 | -0.287382,-0.0320664 | -0.855641,-0.110914
58|5.72668,0.236226,0.236226,0.0173725 | 6.80127,0.341728,0.341728,0.0283067 | -0.287377,-0.0320552 | -0.856152,-0.110933
59|5.72724,0.236253,0.236253,0.0173729 | 6.80261,0.341818,0.341818,0.0283115 | -0.287372,-0.0320439 | -0.856662,-0.110952
60|5.7278,0.23628,0.23628,0.0173733 | 6.80394,0.341908,0.341908,0.0283163 | -0.287366,-0.0320327 | -0.857171,-0.110971
61|5.72837,0.236307,0.236307,0.0173737 | 6.80528,0.341997,0.341997,0.0283211 | -0.287359,-0.0320214 | -0.857679,-0.11099
62|5.72893,0.236334,0.236334,0.017374 | 6.80662,0.342087,0.342087,0.0283258 | -0.287352,-0.03201 | -0.858186,-0.111009
63|5.72949,0.236361,0.236361,0.0173744 | 6.80796,0.342177,0.342177,0.0283306 | -0.287345,-0.0319987 | -0.858692,-0.111027
64|5.73006,0.236389,0.236389,0.0173748 | 6.8093,0.342267,0.342267,0.0283354 | -0.287338,-0.0319873 | -0.859197,-0.111045
65|5.73062,0.236416,0.236416,0.0173752 | 6.81064,0.342357,0.342357,0.0283402 | -0.28733,-0.0319759 | -0.859701,-0.111064
66|5.73118,0.236443,0.236443,0.0173756 | 6.81198,0.342447,0.342447,0.028345 | -0.287322,-0.0319644 | -0.860203,-0.111082
67|5.73174,0.23647,0.23647,0.0173759 | 6.81332,0.342537,0.342537,0.0283498 | -0.287313,-0.0319529 | -0.860705,-0.1111
68|5.7323,0.236497,0.236497,0.0173763 | 6.81466,0.342627,0.342627,0.0283546 | -0.287304,-0.0319414 | -0.861206,-0.111118
69|5.73287,0.236524,0.236524,0.0173767 | 6.816,0.342717,0.342717,0.0283593 | -0.287294,-0.0319299 | -0.861705,-0.111135
70|5.73343,0.236551,0.236551,0.0173771 | 6.81734,0.342806,0.342806,0.0283641 | -0.287284,-0.0319183 | -0.862204,-0.111153
71|5.73399,0.236578,0.236578,0.0173775 | 6.81868,0.342896,0.342896,0.0283689 | -0.287274,-0.0319068 | -0.862701,-0.11117
72|5.73455,0.236605,0.236605,0.0173778 | 6.82002,0.342986,0.342986,0.0283737 | -0.287264,-0.0318951 | -0.863197,-0.111188
73|5.73511,0.236632,0.236632,0.0173782 | 6.82136,0.343076,0.343076,0.0283785 | -0.287253,-0.0318835 | -0.863692,-0.111205
74|5.73568,0.236659,0.236659,0.0173786 | 6.82271,0.343166,0.343166,0.0283833 | -0.287241,-0.0318718 | -0.864186,-0.111222
75|5.73624,0.236686,0.236686,0.017379 | 6.82405,0.343256,0.343256,0.0283881 | -0.28723,-0.0318601 | -0.864679,-0.111239
76|5.7368,0.236713,0.236713,0.0173793 | 6.82539,0.343346,0.343346,0.0283928 | -0.287217,-0.0318484 | -0.865171,-0.111256
77|5.73736,0.23674,0.23674,0.0173797 | 6.82673,0.343436,0.343436,0.0283976 | -0.287205,-0.0318366 | -0.865662,-0.111272
78|5.73792,0.236767,0.236767,0.0173801 | 6.82808,0.343526,0.343526,0.0284024 | -0.287192,-0.0318248 | -0.866151,-0.111289
79|5.73848,0.236794,0.236794,0.0173805 | 6.82942,0.343616,0.343616,0.0284072 | -0.287179,-0.031813 | -0.86664,-0.111305
80|5.73905,0.236821,0.236821,0.0173808 | 6.83077,0.343706,0.343706,0.028412 | -0.287165,-0.0318012 | -0.867127,-0.111321
81|5.73961,0.236848,0.236848,0.0173812 | 6.83211,0.343796,0.343796,0.0284168 | -0.287151,-0.0317893 | -0.867614,-0.111338
82|5.74017,0.236875,0.236875,0.0173816 | 6.83345,0.343886,0.343886,0.0284215 | -0.287137,-0.0317774 | -0.868099,-0.111354
83|5.74073,0.236902,0.236902,0.0173819 | 6.8348,0.343976,0.343976,0.0284263 | -0.287122,-0.0317655 | -0.868583,-0.11137
84|5.74129,0.236929,0.236929,0.0173823 | 6.83614,0.344066,0.344066,0.0284311 | -0.287107,-0.0317535 | -0.869066,-0.111385
85|5.74185,0.236956,0.236956,0.0173827 | 6.83749,0.344156,0.344156,0.0284359 | -0.287091,-0.0317415 | -0.869548,-0.111401
86|5.74241,0.236983,0.236983,0.0173831 | 6.83883,0.344246,0.344246,0.0284407 | -0.287075,-0.0317295 | -0.870028,-0.111416
87|5.74297,0.23701,0.23701,0.0173834 | 6.84018,0.344336,0.344336,0.0284454 | -0.287059,-0.0317175 | -0.870508,-0.111432
88|5.74353,0.237036,0.237036,0.0173838 | 6.84153,0.344426,0.344426,0.0284502 | -0.287042,-0.0317054 | -0.870986,-0.111447
89|5.74409,0.237063,0.237063,0.0173842 | 6.84287,0.344516,0.344516,0.028455 | -0.287025,-0.0316933 | -0.871464,-0.111462
90|5.74465,0.23709,0.23709,0.0173845 | 6.84422,0.344606,0.344606,0.0284598 | -0.287008,-0.0316812 | -0.87194,-0.111477
91|5.74521,0.237117,0.237117,0.0173849 | 6.84556,0.344696,0.344696,0.0284646 | -0.28699,-0.0316691 | -0.872415,-0.111492
92|5.74577,0.237144,0.237144,0.0173853 | 6.84691,0.344786,0.344786,0.0284693 | -0.286972,-0.0316569 | -0.872889,-0.111506
93|5.74633,0.237171,0.237171,0.0173856 | 6.84826,0.344876,0.344876,0.0284741 | -0.286953,-0.0316447 | -0.873362,-0.111521
94|5.74689,0.237197,0.237197,0.017386 | 6.84961,0.344966,0.344966,0.0284789 | -0.286934,-0.0316325 | -0.873833,-0.111535
95|5.74745,0.237224,0.237224,0.0173863 | 6.85095,0.345056,0.345056,0.0284837 | -0.286915,-0.0316202 | -0.874304,-0.11155
96|5.74801,0.237251,0.237251,0.0173867 | 6.8523,0.345146,0.345146,0.0284884 | -0.286895,-0.0316079 | -0.874773,-0.111564
97|5.74857,0.237278,0.237278,0.0173871 | 6.85365,0.345236,0.345236,0.0284932 | -0.286875,-0.0315956 | -0.875241,-0.111578
98|5.74913,0.237304,0.237304,0.0173874 | 6.855,0.345326,0.345326,0.028498 | -0.286855,-0.0315833 | -0.875708,-0.111592
99|5.74969,0.237331,0.237331,0.0173878 | 6.85635,0.345416,0.345416,0.0285028 | -0.286834,-0.0315709 | -0.876174,-0.111606
100|5.75025,0.237358,0.237358,0.0173882 | 6.8577,0.345506,0.345506,0.0285075 | -0.286813,-0.0315585 | -0.876639,-0.111619
101|5.75081,0.237385,0.237385,0.0173885 | 6.85904,0.345596,0.345596,0.0285123 | -0.286791,-0.0315461 | -0.877102,-0.111633
102|5.75137,0.237411,0.237411,0.0173889 | 6.86039,0.345686,0.345686,0.0285171 | -0.286769,-0.0315337 | -0.877565,-0.111646
103|5.75193,0.237438,0.237438,0.0173892 | 6.86174,0.345776,0.345776,0.0285219 | -0.286747,-0.0315212 | -0.878026,-0.111659
104|5.75249,0.237465,0.237465,0.0173896 | 6.86309,0.345866,0.345866,0.0285266 | -0.286725,-0.0315087 | -0.878486,-0.111672
105|5.75305,0.237491,0.237491,0.0173899 | 6.86444,0.345956,0.345956,0.0285314 | -0.286701,-0.0314962 | -0.878945,-0.111685
106|5.7536,0.237518,0.237518,0.0173903 | 6.86579,0.346046,0.346046,0.0285362 | -0.286678,-0.0314836 | -0.879402,-0.111698
107|5.75416,0.237545,0.237545,0.0173907 | 6.86714,0.346136,0.346136,0.028541 | -0.286654,-0.0314711 | -0.879859,-0.111711
108|5.75472,0.237571,0.237571,0.017391 | 6.86849,0.346226,0.346226,0.0285457 | -0.28663,-0.0314585 | -0.880314,-0.111723
109|5.75528,0.237598,0.237598,0.0173914 | 6.86984,0.346316,0.346316,0.0285505 | -0.286606,-0.0314458 | -0.880768,-0.111736
110|5.75584,0.237624,0.237624,0.0173917 | 6.87119,0.346406,0.346406,0.0285553 | -0.286581,-0.0314332 | -0.881221,-0.111748
111|5.75639,0.237651,0.237651,0.0173921 | 6.87254,0.346496,0.346496,0.02856 | -0.286555,-0.0314205 | -0.881673,-0.11176
112|5.75695,0.237677,0.237677,0.0173924 | 6.8739,0.346586,0.346586,0.0285648 | -0.28653,-0.0314078 | -0.882123,-0.111772
113|5.75751,0.237704,0.237704,0.0173928 | 6.87525,0.346676,0.346676,0.0285696 | -0.286504,-0.0313951 | -0.882573,-0.111784
114|5.75807,0.237731,0.237731,0.0173931 | 6.8766,0.346766,0.346766,0.0285743 | -0.286477,-0.0313823 | -0.883021,-0.111796
115|5.75863,0.237757,0.237757,0.0173935 | 6.87795,0.346856,0.346856,0.0285791 | -0.286451,-0.0313695 | -0.883468,-0.111808
116|5.75918,0.237784,0.237784,0.0173938 | 6.8793,0.346946,0.346946,0.0285839 | -0.286424,-0.0313567 | -0.883914,-0.111819
117|5.75974,0.23781,0.23781,0.0173942 | 6.88065,0.347036,0.347036,0.0285886 | -0.286396,-0.0313439 | -0.884358,-0.11183
118|5.7603,0.237837,0.237837,0.0173945 | 6.88201,0.347126,0.347126,0.0285934 | -0.286368,-0.031331 | -0.884802,-0.111842
119|5.76085,0.237863,0.237863,0.0173949 | 6.88336,0.347216,0.347216,0.0285982 | -0.28634,-0.0313181 | -0.885244,-0.111853
120|5.76141,0.237889,0.237889,0.0173952 | 6.88471,0.347306,0.347306,0.0286029 | -0.286312,-0.0313052 | -0.885685,-0.111864
121|5.76197,0.237916,0.237916,0.0173956 | 6.88606,0.347396,0.347396,0.0286077 | -0.286283,-0.0312923 | -0.886125,-0.111874
122|5.76252,0.237942,0.237942,0.0173959 | 6.88742,0.347486,0.347486,0.0286124 | -0.286253,-0.0312793 | -0.886563,-0.111885
123|5.76308,0.237969,0.237969,0.0173963 | 6.88877,0.347576,0.347576,0.0286172 | -0.286224,-0.0312663 | -0.887,-0.111896
124|5.76364,0.237995,0.237995,0.0173966 | 6.89012,0.347666,0.347666,0.028622 | -0.286194,-0.0312533 | -0.887436,-0.111906
125|5.76419,0.238022,0.238022,0.017397 | 6.89147,0.347756,0.347756,0.0286267 | -0.286163,-0.0312403 | -0.887871,-0.111916
126|5.76475,0.238048,0.238048,0.0173973 | 6.89283,0.347846,0.347846,0.0286315 | -0.286132,-0.0312272 | -0.888305,-0.111926
127|5.7653,0.238074,0.238074,0.0173977 | 6.89418,0.347936,0.347936,0.0286362 | -0.286101,-0.0312142 | -0.888737,-0.111936
128|5.76586,0.238101,0.238101,0.017398 | 6.89553,0.348025,0.348025,0.028641 | -0.28607,-0.031201 | -0.889169,-0.111946
129|5.76641,0.238127,0.238127,0.0173983 | 6.89689,0.348115,0.348115,0.0286457 | -0.286038,-0.0311879 | -0.889598,-0.111956
130|5.76697,0.238153,0.238153,0.0173987 | 6.89824,0.348205,0.348205,0.0286505 | -0.286006,-0.0311747 | -0.890027,-0.111966
131|5.76753,0.23818,0.23818,0.017399 | 6.8996,0.348295,0.348295,0.0286553 | -0.285973,-0.0311616 | -0.890455,-0.111975
132|5.76808,0.238206,0.238206,0.0173994 | 6.90095,0.348385,0.348385,0.02866 | -0.28594,-0.0311484 | -0.890881,-0.111984
133|5.76864,0.238232,0.238232,0.0173997 | 6.9023,0.348475,0.348475,0.0286648 | -0.285907,-0.0311351 | -0.891306,-0.111994
134|5.76919,0.238258,0.238258,0.0174 | 6.90366,0.348565,0.348565,0.0286695 | -0.285873,-0.0311219 | -0.89173,-0.112003
135|5.76974,0.238285,0.238285,0.0174004 | 6.90501,0.348655,0.348655,0.0286743 | -0.285839,-0.0311086 | -0.892152,-0.112012
136|5.7703,0.238311,0.238311,0.0174007 | 6.90637,0.348745,0.348745,0.028679 | -0.285805,-0.0310953 | -0.892573,-0.11202
137|5.77085,0.238337,0.238337,0.0174011 | 6.90772,0.348835,0.348835,0.0286838 | -0.28577,-0.0310819 | -0.892993,-0.112029
138|5.77141,0.238363,0.238363,0.0174014 | 6.90908,0.348925,0.348925,0.0286885 | -0.285735,-0.0310686 | -0.893412,-0.112038
139|5.77196,0.23839,0.23839,0.0174017 | 6.91043,0.349014,0.349014,0.0286932 | -0.2857,-0.0310552 | -0.89383,-0.112046
140|5.77252,0.238416,0.238416,0.0174021 | 6.91179,0.349104,0.349104,0.028698 | -0.285664,-0.0310418 | -0.894246,-0.112054
141|5.77307,0.238442,0.238442,0.0174024 | 6.91314,0.349194,0.349194,0.0287027 | -0.285628,-0.0310284 | -0.894661,-0.112062
142|5.77362,0.238468,0.238468,0.0174027 | 6.9145,0.349284,0.349284,0.0287075 | -0.285591,-0.0310149 | -0.895075,-0.11207
143|5.77418,0.238494,0.238494,0.0174031 | 6.91585,0.349374,0.349374,0.0287122 | -0.285554,-0.0310014 | -0.895487,-0.112078
144|5.77473,0.23852,0.23852,0.0174034 | 6.91721,0.349464,0.349464,0.028717 | -0.285517,-0.030988 | -0.895898,-0.112086
145|5.77528,0.238546,0.238546,0.0174037 | 6.91856,0.349553,0.349553,0.0287217 | -0.285479,-0.0309744 | -0.896308,-0.112093
146|5.77584,0.238572,0.238572,0.0174041 | 6.91992,0.349643,0.349643,0.0287265 | -0.285441,-0.0309609 | -0.896717,-0.112101
147|5.77639,0.238599,0.238599,0.0174044 | 6.92127,0.349733,0.349733,0.0287312 | -0.285403,-0.0309473 | -0.897124,-0.112108
148|5.77694,0.238625,0.238625,0.0174047 | 6.92263,0.349823,0.349823,0.0287359 | -0.285364,-0.0309337 | -0.89753,-0.112115
149|5.77749,0.238651,0.238651,0.0174051 | 6.92398,0.349913,0.349913,0.0287407 | -0.285325,-0.0309201 | -0.897935,-0.112122
150|5.77804,0.238677,0.238677,0.0174054 | 6.92534,0.350002,0.350002,0.0287454 | -0.285286,-0.0309065 | -0.898339,-0.112129
151|5.7786,0.238703,0.238703,0.0174057 | 6.9267,0.350092,0.350092,0.0287501 | -0.285246,-0.0308928 | -0.898741,-0.112136
152|5.77915,0.238729,0.238729,0.0174061 | 6.92805,0.350182,0.350182,0.0287549 | -0.285206,-0.0308791 | -0.899142,-0.112142
153|5.7797,0.238755,0.238755,0.0174064 | 6.92941,0.350272,0.350272,0.0287596 | -0.285165,-0.0308654 | -0.899542,-0.112149
154|5.78025,0.238781,0.238781,0.0174067 | 6.93076,0.350361,0.350361,0.0287643 | -0.285125,-0.0308517 | -0.89994,-0.112155
155|5.7808,0.238807,0.238807,0.017407 | 6.93212,0.350451,0.350451,0.0287691 | -0.285083,-0.0308379 | -0.900337,-0.112161
156|5.78135,0.238833,0.238833,0.0174074 | 6.93347,0.350541,0.350541,0.0287738 | -0.285042,-0.0308241 | -0.900733,-0.112167
157|5.78191,0.238858,0.238858,0.0174077 | 6.93483,0.350631,0.350631,0.0287785 | -0.285,-0.0308103 | -0.901128,-0.112173
158|5.78246,0.238884,0.238884,0.017408 | 6.93619,0.35072,0.35072,0.0287833 | -0.284958,-0.0307965 | -0.901521,-0.112179
159|5.78301,0.23891,0.23891,0.0174083 | 6.93754,0.35081,0.35081,0.028788 | -0.284915,-0.0307827 | -0.901913,-0.112185
160|5.78356,0.238936,0.238936,0.0174087 | 6.9389,0.3509,0.3509,0.0287927 | -0.284872,-0.0307688 | -0.902304,-0.11219
161|5.78411,0.238962,0.238962,0.017409 | 6.94025,0.350989,0.350989,0.0287974 | -0.284829,-0.0307549 | -0.902693,-0.112196
162|5.78466,0.238988,0.238988,0.0174093 | 6.94161,0.351079,0.351079,0.0288022 | -0.284785,-0.030741 | -0.903081,-0.112201
163|5.78521,0.239014,0.239014,0.0174096 | 6.94297,0.351169,0.351169,0.0288069 | -0.284741,-0.030727 | -0.903468,-0.112206
164|5.78576,0.239039,0.239039,0.0174099 | 6.94432,0.351258,0.351258,0.0288116 | -0.284697,-0.0307131 | -0.903853,-0.112211
165|5.78631,0.239065,0.239065,0.0174103 | 6.94568,0.351348,0.351348,0.0288163 | -0.284652,-0.0306991 | -0.904237,-0.112216
166|5.78686,0.239091,0.239091,0.0174106 | 6.94704,0.351437,0.351437,0.028821 | -0.284607,-0.0306851 | -0.90462,-0.112221
167|5.7874,0.239117,0.239117,0.0174109 | 6.94839,0.351527,0.351527,0.0288258 | -0.284562,-0.0306711 | -0.905002,-0.112225
168|5.78795,0.239143,0.239143,0.0174112 | 6.94975,0.351617,0.351617,0.0288305 | -0.284516,-0.030657 | -0.905382,-0.11223
169|5.7885,0.239168,0.239168,0.0174115 | 6.9511,0.351706,0.351706,0.0288352 | -0.28447,-0.0306429 | -0.905761,-0.112234
170|5.78905,0.239194,0.239194,0.0174119 | 6.95246,0.351796,0.351796,0.0288399 | -0.284424,-0.0306288 | -0.906138,-0.112238
171|5.7896,0.23922,0.23922,0.0174122 | 6.95382,0.351885,0.351885,0.0288446 | -0.284377,-0.0306147 | -0.906515,-0.112242
172|5.79015,0.239245,0.239245,0.0174125 | 6.95517,0.351975,0.351975,0.0288493 | -0.28433,-0.0306006 | -0.906889,-0.112246
173|5.7907,0.239271,0.239271,0.0174128 | 6.95653,0.352064,0.352064,0.028854 | -0.284283,-0.0305864 | -0.907263,-0.11225
174|5.79124,0.239297,0.239297,0.0174131 | 6.95789,0.352154,0.352154,0.0288587 | -0.284235,-0.0305723 | -0.907635,-0.112253
175|5.79179,0.239322,0.239322,0.0174134 | 6.95924,0.352243,0.352243,0.0288634 | -0.284187,-0.030558 | -0.908006,-0.112257
176|5.79234,0.239348,0.239348,0.0174138 | 6.9606,0.352333,0.352333,0.0288682 | -0.284138,-0.0305438 | -0.908376,-0.11226
177|5.79289,0.239374,0.239374,0.0174141 | 6.96195,0.352422,0.352422,0.0288729 | -0.284089,-0.0305296 | -0.908744,-0.112263
178|5.79343,0.239399,0.239399,0.0174144 | 6.96331,0.352512,0.352512,0.0288776 | -0.28404,-0.0305153 | -0.909111,-0.112266
179|5.79398,0.239425,0.239425,0.0174147 | 6.96467,0.352601,0.352601,0.0288823 | -0.283991,-0.030501 | -0.909477,-0.112269
180|5.79453,0.23945,0.23945,0.017415 | 6.96602,0.35269,0.35269,0.028887 | -0.283941,-0.0304867 | -0.909841,-0.112272
181|5.79507,0.239476,0.239476,0.0174153 | 6.96738,0.35278,0.35278,0.0288917 | -0.283891,-0.0304724 | -0.910204,-0.112275
182|5.79562,0.239502,0.239502,0.0174156 | 6.96874,0.352869,0.352869,0.0288964 | -0.28384,-0.030458 | -0.910565,-0.112277
183|5.79616,0.239527,0.239527,0.0174159 | 6.97009,0.352958,0.352958,0.0289011 | -0.283789,-0.0304437 | -0.910926,-0.112279
184|5.79671,0.239553,0.239553,0.0174162 | 6.97145,0.353048,0.353048,0.0289058 | -0.283738,-0.0304293 | -0.911284,-0.112282
185|5.79725,0.239578,0.239578,0.0174166 | 6.9728,0.353137,0.353137,0.0289104 | -0.283686,-0.0304148 | -0.911642,-0.112284
186|5.7978,0.239603,0.239603,0.0174169 | 6.97416,0.353226,0.353226,0.0289151 | -0.283635,-0.0304004 | -0.911998,-0.112286
187|5.79835,0.239629,0.239629,0.0174172 | 6.97552,0.353316,0.353316,0.0289198 | -0.283582,-0.0303859 | -0.912353,-0.112288
188|5.79889,0.239654,0.239654,0.0174175 | 6.97687,0.353405,0.353405,0.0289245 | -0.28353,-0.0303715 | -0.912707,-0.112289
189|5.79943,0.23968,0.23968,0.0174178 | 6.97823,0.353494,0.353494,0.0289292 | -0.283477,-0.030357 | -0.913059,-0.112291
190|5.79998,0.239705,0.239705,0.0174181 | 6.97958,0.353583,0.353583,0.0289339 | -0.283424,-0.0303424 | -0.913409,-0.112292
