 I    | PH(0 0), PH(0 1), PH(1 0), PH(1 1)  | PR(0 0), PR(0 1), PR(1 0), PR(1 1)  | AH(0), AH(1)  | AR(0), AR(1)
1475|46.494,0.757454,0.757454,0.038082 | 47.5966,0.841251,0.841251,0.0497953 | -0.122672,-0.0152631 | -0.159656,-0.0208736
1476|46.8581,0.738641,0.738641,0.0383717 | 47.8572,0.818034,0.818034,0.0500128 | -0.116422,-0.0150054 | -0.150334,-0.0203648
1477|47.2013,0.71885,0.71885,0.0387267 | 48.1016,0.79391,0.79391,0.0502973 | -0.11013,-0.0147399 | -0.141082,-0.019848
1478|47.5233,0.698091,0.698091,0.0391549 | 48.3295,0.768883,0.768883,0.0506552 | -0.103812,-0.0144655 | -0.131915,-0.0193221
1479|47.8238,0.676372,0.676372,0.0396647 | 48.541,0.742958,0.742958,0.0510938 | -0.0974798,-0.014181 | -0.122852,-0.0187856
1480|48.1028,0.653702,0.653702,0.0402655 | 48.7361,0.716137,0.716137,0.0516207 | -0.0911489,-0.0138852 | -0.113911,-0.0182369
1481|48.3603,0.630089,0.630089,0.0409678 | 48.9149,0.688421,0.688421,0.0522445 | -0.0848339,-0.0135763 | -0.105109,-0.0176743
1482|48.5962,0.605536,0.605536,0.041783 | 49.0776,0.659809,0.659809,0.0529744 | -0.0785504,-0.0132525 | -0.0964658,-0.0170956
1483|48.811,0.580046,0.580046,0.0427241 | 49.2245,0.630299,0.630299,0.0538206 | -0.0723143,-0.0129115 | -0.0880011,-0.0164983
1484|49.0047,0.553615,0.553615,0.0438056 | 49.3559,0.599881,0.599881,0.0547945 | -0.0661426,-0.0125507 | -0.0797355,-0.0158798
1485|49.1778,0.526237,0.526237,0.0450441 | 49.4723,0.568545,0.568545,0.0559085 | -0.0600528,-0.0121668 | -0.0716903,-0.0152369
1486|49.3308,0.497895,0.497895,0.0464585 | 49.574,0.536272,0.536272,0.0571767 | -0.0540637,-0.0117564 | -0.0638884,-0.0145659
1487|49.4644,0.468566,0.468566,0.0480706 | 49.6616,0.503038,0.503038,0.0586151 | -0.0481956,-0.0113149 | -0.0563538,-0.0138627
1488|49.5792,0.438214,0.438214,0.0499055 | 49.7358,0.46881,0.46881,0.0602415 | -0.0424704,-0.0108373 | -0.0491124,-0.0131226
1489|49.6761,0.406789,0.406789,0.0519928 | 49.7973,0.433544,0.433544,0.0620765 | -0.0369126,-0.0103175 | -0.0421922,-0.01234
1490|49.756,0.374222,0.374222,0.0543675 | 49.8469,0.397184,0.397184,0.0641436 | -0.0315495,-0.00974821 | -0.0356238,-0.0115085
1491|49.82,0.340424,0.340424,0.057071 | 49.8856,0.359659,0.359659,0.0664704 | -0.0264125,-0.00912057 | -0.0294413,-0.0106206
1492|49.8693,0.305275,0.305275,0.0601533 | 49.9142,0.32088,0.32088,0.0690885 | -0.021538,-0.00842398 | -0.0236829,-0.00966764
1493|49.9052,0.26862,0.26862,0.0636751 | 49.9339,0.280732,0.280732,0.0720358 | -0.0169691,-0.00764544 | -0.0183918,-0.00863933
1494|49.9295,0.230255,0.230255,0.067711 | 49.9461,0.239074,0.239074,0.0753567 | -0.0127581,-0.00676896 | -0.0136181,-0.00752349
1495|49.9438,0.189917,0.189917,0.0723539 | 49.952,0.195728,0.195728,0.0791048 | -0.00896865,-0.00577465 | -0.0094201,-0.00630555
